Vin_tt,codes_tt,,Vin_ss,codes_ss,,Vin_ff,codes_ff,,Vin_sf,codes_sf,,Vin_fs,codes_fs,,Vin_tt_pre,codes_tt_pre,,Vin_ss_pre,codes_ss_pre,,Vin_ff_pre,codes_ff_pre,,Vin_sf_pre,codes_sf_pre,,Vin_fs_pre,codes_fs_pre
0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6,,0.045882353,6
0.047647059,6,,0.047647059,6,,0.047647059,6,,0.047647059,6,,0.047647059,7,,0.047647059,6,,0.047647059,6,,0.047647059,6,,0.047647059,6,,0.047647059,6
0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7,,0.049411765,7
0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7,,0.05117647,7
0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7,,0.052941176,7
0.054705882,7,,0.054705882,7,,0.054705882,7,,0.054705882,8,,0.054705882,7,,0.054705882,7,,0.054705882,7,,0.054705882,7,,0.054705882,7,,0.054705882,7
0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8,,0.056470588,8
0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8,,0.058235294,8
0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8,,0.06,8
0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8,,0.061764706,8
0.063529412,9,,0.063529412,9,,0.063529412,9,,0.063529412,9,,0.063529412,8,,0.063529412,9,,0.063529412,8,,0.063529412,9,,0.063529412,9,,0.063529412,8
0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9,,0.065294118,9
0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9,,0.067058824,9
0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9,,0.068823529,9
0.070588235,10,,0.070588235,10,,0.070588235,10,,0.070588235,10,,0.070588235,10,,0.070588235,10,,0.070588235,9,,0.070588235,10,,0.070588235,10,,0.070588235,9
0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10,,0.072352941,10
0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10,,0.074117647,10
0.075882353,10,,0.075882353,11,,0.075882353,10,,0.075882353,10,,0.075882353,11,,0.075882353,10,,0.075882353,10,,0.075882353,10,,0.075882353,10,,0.075882353,10
0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11,,0.077647059,11
0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11,,0.079411765,11
0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11,,0.081176471,11
0.082941176,11,,0.082941176,11,,0.082941176,11,,0.082941176,11,,0.082941176,12,,0.082941176,11,,0.082941176,11,,0.082941176,11,,0.082941176,11,,0.082941176,11
0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12,,0.084705882,12
0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12,,0.086470588,12
0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12,,0.088235294,12
0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12,,0.09,12
0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,13,,0.091764706,12
0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13,,0.093529412,13
0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13,,0.095294118,13
0.097058824,14,,0.097058824,14,,0.097058824,14,,0.097058824,14,,0.097058824,14,,0.097058824,13,,0.097058824,13,,0.097058824,13,,0.097058824,13,,0.097058824,13
0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14,,0.098823529,14
0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14,,0.100588235,14
0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14,,0.102352941,14
0.104117647,15,,0.104117647,15,,0.104117647,15,,0.104117647,15,,0.104117647,15,,0.104117647,14,,0.104117647,14,,0.104117647,14,,0.104117647,14,,0.104117647,14
0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15,,0.105882353,15
0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15,,0.107647059,15
0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15,,0.109411765,15
0.11117647,16,,0.11117647,16,,0.11117647,16,,0.11117647,16,,0.11117647,16,,0.11117647,15,,0.11117647,15,,0.11117647,15,,0.11117647,15,,0.11117647,16
0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16,,0.112941176,16
0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16,,0.114705882,16
0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16,,0.116470588,16
0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16,,0.118235294,16
0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,17,,0.12,16
0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17,,0.121764706,17
0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17,,0.123529412,17
0.125294118,17,,0.125294118,17,,0.125294118,18,,0.125294118,18,,0.125294118,17,,0.125294118,17,,0.125294118,17,,0.125294118,17,,0.125294118,17,,0.125294118,17
0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18,,0.127058824,18
0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18,,0.128823529,18
0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18,,0.130588235,18
0.132352941,19,,0.132352941,19,,0.132352941,19,,0.132352941,19,,0.132352941,19,,0.132352941,18,,0.132352941,18,,0.132352941,18,,0.132352941,18,,0.132352941,18
0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19,,0.134117647,19
0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19,,0.135882353,19
0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19,,0.137647059,19
0.139411765,20,,0.139411765,20,,0.139411765,20,,0.139411765,20,,0.139411765,20,,0.139411765,19,,0.139411765,19,,0.139411765,19,,0.139411765,19,,0.139411765,19
0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20,,0.141176471,20
0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20,,0.142941176,20
0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20,,0.144705882,20
0.146470588,21,,0.146470588,21,,0.146470588,21,,0.146470588,21,,0.146470588,20,,0.146470588,20,,0.146470588,20,,0.146470588,20,,0.146470588,20,,0.146470588,20
0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21,,0.148235294,21
0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21,,0.15,21
0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21,,0.151764706,21
0.153529412,22,,0.153529412,22,,0.153529412,22,,0.153529412,22,,0.153529412,22,,0.153529412,21,,0.153529412,21,,0.153529412,21,,0.153529412,21,,0.153529412,21
0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22,,0.155294118,22
0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22,,0.157058823,22
0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22,,0.158823529,22
0.160588235,23,,0.160588235,23,,0.160588235,23,,0.160588235,23,,0.160588235,23,,0.160588235,22,,0.160588235,22,,0.160588235,22,,0.160588235,22,,0.160588235,22
0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23,,0.162352941,23
0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23,,0.164117647,23
0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23,,0.165882353,23
0.167647059,24,,0.167647059,23,,0.167647059,24,,0.167647059,24,,0.167647059,23,,0.167647059,23,,0.167647059,23,,0.167647059,23,,0.167647059,23,,0.167647059,23
0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,24,,0.169411765,23
0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24,,0.171176471,24
0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24,,0.172941176,24
0.174705882,25,,0.174705882,25,,0.174705882,25,,0.174705882,25,,0.174705882,25,,0.174705882,24,,0.174705882,24,,0.174705882,24,,0.174705882,24,,0.174705882,24
0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25,,0.176470588,25
0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25,,0.178235294,25
0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25,,0.18,25
0.181764706,26,,0.181764706,26,,0.181764706,26,,0.181764706,26,,0.181764706,26,,0.181764706,25,,0.181764706,25,,0.181764706,25,,0.181764706,25,,0.181764706,25
0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26,,0.183529412,26
0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26,,0.185294118,26
0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26,,0.187058823,26
0.188823529,27,,0.188823529,27,,0.188823529,27,,0.188823529,27,,0.188823529,27,,0.188823529,26,,0.188823529,26,,0.188823529,26,,0.188823529,26,,0.188823529,26
0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27,,0.190588235,27
0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27,,0.192352941,27
0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27,,0.194117647,27
0.195882353,28,,0.195882353,28,,0.195882353,28,,0.195882353,28,,0.195882353,28,,0.195882353,27,,0.195882353,27,,0.195882353,27,,0.195882353,27,,0.195882353,27
0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28,,0.197647059,28
0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28,,0.199411765,28
0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28,,0.201176471,28
0.202941176,29,,0.202941176,29,,0.202941176,29,,0.202941176,29,,0.202941176,29,,0.202941176,28,,0.202941176,28,,0.202941176,28,,0.202941176,28,,0.202941176,28
0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29,,0.204705882,29
0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29,,0.206470588,29
0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29,,0.208235294,29
0.21,30,,0.21,30,,0.21,30,,0.21,30,,0.21,30,,0.21,29,,0.21,29,,0.21,29,,0.21,29,,0.21,29
0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30,,0.211764706,30
0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30,,0.213529412,30
0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30,,0.215294118,30
0.217058823,31,,0.217058823,31,,0.217058823,31,,0.217058823,31,,0.217058823,31,,0.217058823,30,,0.217058823,30,,0.217058823,30,,0.217058823,30,,0.217058823,30
0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31,,0.218823529,31
0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31,,0.220588235,31
0.222352941,32,,0.222352941,32,,0.222352941,32,,0.222352941,32,,0.222352941,32,,0.222352941,31,,0.222352941,31,,0.222352941,31,,0.222352941,31,,0.222352941,31
0.224117647,32,,0.224117647,32,,0.224117647,32,,0.224117647,32,,0.224117647,32,,0.224117647,31,,0.224117647,31,,0.224117647,31,,0.224117647,31,,0.224117647,31
0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32,,0.225882353,32
0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32,,0.227647059,32
0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32,,0.229411765,32
0.231176471,33,,0.231176471,33,,0.231176471,33,,0.231176471,33,,0.231176471,33,,0.231176471,32,,0.231176471,32,,0.231176471,32,,0.231176471,32,,0.231176471,32
0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33,,0.232941176,33
0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33,,0.234705882,33
0.236470588,34,,0.236470588,34,,0.236470588,34,,0.236470588,34,,0.236470588,33,,0.236470588,33,,0.236470588,33,,0.236470588,33,,0.236470588,33,,0.236470588,33
0.238235294,34,,0.238235294,34,,0.238235294,34,,0.238235294,34,,0.238235294,34,,0.238235294,33,,0.238235294,33,,0.238235294,33,,0.238235294,33,,0.238235294,33
0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34,,0.24,34
0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34,,0.241764706,34
0.243529412,35,,0.243529412,35,,0.243529412,35,,0.243529412,35,,0.243529412,35,,0.243529412,34,,0.243529412,34,,0.243529412,34,,0.243529412,34,,0.243529412,34
0.245294118,35,,0.245294118,35,,0.245294118,35,,0.245294118,35,,0.245294118,35,,0.245294118,34,,0.245294118,34,,0.245294118,34,,0.245294118,34,,0.245294118,34
0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35,,0.247058823,35
0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35,,0.248823529,35
0.250588235,36,,0.250588235,36,,0.250588235,36,,0.250588235,36,,0.250588235,36,,0.250588235,35,,0.250588235,35,,0.250588235,35,,0.250588235,35,,0.250588235,35
0.252352941,36,,0.252352941,36,,0.252352941,36,,0.252352941,36,,0.252352941,36,,0.252352941,35,,0.252352941,35,,0.252352941,35,,0.252352941,35,,0.252352941,35
0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36,,0.254117647,36
0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36,,0.255882353,36
0.257647059,37,,0.257647059,37,,0.257647059,37,,0.257647059,37,,0.257647059,36,,0.257647059,36,,0.257647059,36,,0.257647059,36,,0.257647059,36,,0.257647059,36
0.259411765,37,,0.259411765,37,,0.259411765,37,,0.259411765,37,,0.259411765,37,,0.259411765,36,,0.259411765,36,,0.259411765,36,,0.259411765,36,,0.259411765,36
0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37,,0.261176471,37
0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37,,0.262941176,37
0.264705882,38,,0.264705882,38,,0.264705882,38,,0.264705882,38,,0.264705882,38,,0.264705882,37,,0.264705882,37,,0.264705882,37,,0.264705882,37,,0.264705882,37
0.266470588,38,,0.266470588,38,,0.266470588,38,,0.266470588,38,,0.266470588,38,,0.266470588,37,,0.266470588,37,,0.266470588,37,,0.266470588,37,,0.266470588,37
0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38,,0.268235294,38
0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38,,0.27,38
0.271764706,39,,0.271764706,39,,0.271764706,39,,0.271764706,39,,0.271764706,39,,0.271764706,38,,0.271764706,38,,0.271764706,38,,0.271764706,38,,0.271764706,38
